,ranking,player_name,player_age,player_position,team_name,annual_salary
0,1,フォルラン,38,FW,セレッソ大阪,346500000
1,2,マルキーニョス,41,FW,ヴィッセル神戸,150000000
2,2,遠藤　保仁,37,MF,ガンバ大阪,150000000
3,2,田中　マルクス闘莉王,36,DF,名古屋グランパス,150000000
4,5,中村　俊輔,39,MF,横浜F・マリノス,130000000
5,6,中澤　佑二,39,DF,横浜F・マリノス,120000000
6,6,ペドロ　ジュニオール,30,FW,ヴィッセル神戸,120000000
7,8,今野　泰幸,34,DF,ガンバ大阪,110000000
8,9,ケネディ,35,FW,名古屋グランパス,100000000
9,9,マルシオ　リシャルデス,35,MF,浦和レッズ,100000000
10,9,阿部　勇樹,36,MF,浦和レッズ,100000000
11,9,中村　憲剛,37,MF,川崎フロンターレ,100000000
12,9,シンプリシオ,38,MF,ヴィッセル神戸,100000000
13,9,ドゥトラ,44,DF,横浜F・マリノス,100000000
14,15,大久保　嘉人,35,FW,川崎フロンターレ,90000000
15,15,楢﨑　正剛,41,GK,名古屋グランパス,90000000
16,17,西川　周作,31,GK,浦和レッズ,80000000
17,17,小笠原　満男,38,MF,鹿島アントラーズ,80000000
18,17,レアンドロ,32,FW,柏レイソル,80000000
19,17,レアンドロ　ドミンゲス,34,MF,柏レイソル,80000000
20,17,カルリーニョス,34,MF,大宮アルディージャ,80000000
21,17,鈴木　啓太,36,MF,浦和レッズ,80000000
22,17,稲本　潤一,38,DF,川崎フロンターレ,80000000
23,24,栗原　勇蔵,34,DF,横浜F・マリノス,70000000
24,24,エドゥー,35,FW,FC東京,70000000
25,24,興梠　慎三,31,FW,浦和レッズ,70000000
26,24,曽ヶ端　準,38,GK,鹿島アントラーズ,70000000
27,24,ズラタン,33,FW,大宮アルディージャ,70000000
28,24,ノヴァコヴィッチ,38,FW,清水エスパルス,70000000
29,24,ウイルソン,32,FW,ベガルタ仙台,70000000
30,31,玉田　圭司,37,FW,名古屋グランパス,65000000
31,32,カルフィン　ヨン　ア　ピン,31,DF,清水エスパルス,60000000
32,32,柏木　陽介,29,MF,浦和レッズ,60000000
33,32,藤本　淳吾,33,MF,横浜F・マリノス,60000000
34,32,槙野　智章,30,DF,浦和レッズ,60000000
35,32,ダヴィ,33,FW,鹿島アントラーズ,60000000
36,32,リンス,30,FW,ガンバ大阪,60000000
37,32,佐藤　寿人,35,FW,サンフレッチェ広島,60000000
38,39,徳永　悠平,34,DF,FC東京,58000000
39,40,坪井　慶介,38,DF,浦和レッズ,55000000
40,40,ミキッチ,37,MF,サンフレッチェ広島,55000000
41,42,ダニルソン,31,MF,名古屋グランパス,52000000
42,43,ジェシ,37,DF,川崎フロンターレ,50000000
43,43,ラドンチッチ,34,FW,大宮アルディージャ,50000000
44,43,家長　昭博,31,MF,大宮アルディージャ,50000000
45,43,曺　永哲,28,MF,大宮アルディージャ,50000000
46,43,大前　元紀,27,FW,清水エスパルス,50000000
47,43,梶山　陽平,32,MF,FC東京,50000000
48,43,森重　真人,30,DF,FC東京,50000000
49,43,マテウス,32,DF,FC東京,50000000
50,43,李　忠成,31,FW,浦和レッズ,50000000
51,43,石川　直宏,36,MF,FC東京,50000000
52,43,レオ　シルバ,31,MF,アルビレックス新潟,50000000
53,43,柿谷　曜一朗,27,MF,セレッソ大阪,50000000
54,43,森﨑　和幸,36,MF,サンフレッチェ広島,50000000
55,43,青山　敏弘,31,MF,サンフレッチェ広島,50000000
56,43,ルイス　アルベルト,34,MF,鹿島アントラーズ,50000000
57,43,富澤　清太郎,35,MF,横浜F・マリノス,50000000
58,59,加地　亮,37,DF,ガンバ大阪,45000000
59,59,髙萩　洋次郎,31,MF,サンフレッチェ広島,45000000
60,59,森脇　良太,31,DF,浦和レッズ,45000000
61,59,平川　忠亮,38,MF,浦和レッズ,45000000
62,59,青木　剛,35,DF,鹿島アントラーズ,45000000
63,59,レナト,29,FW,川崎フロンターレ,45000000
64,65,梁　勇基,35,MF,ベガルタ仙台,42000000
65,65,水本　裕貴,32,DF,サンフレッチェ広島,42000000
66,67,山岸　範宏,39,GK,浦和レッズ,40000000
67,67,那須　大亮,36,DF,浦和レッズ,40000000
68,67,田代　有三,35,FW,ヴィッセル神戸,40000000
69,67,青木　拓矢,28,MF,浦和レッズ,40000000
70,67,永田　充,34,DF,浦和レッズ,40000000
71,67,エブソン,26,DF,ガンバ大阪,40000000
72,67,石原　直樹,33,FW,サンフレッチェ広島,40000000
73,67,本田　拓也,32,MF,清水エスパルス,40000000
74,67,杉山　浩太,32,MF,清水エスパルス,40000000
75,67,林　卓人,35,GK,サンフレッチェ広島,40000000
76,67,菅野　孝憲,33,GK,柏レイソル,40000000
77,67,渡邉　千真,31,FW,FC東京,40000000
78,67,大谷　秀和,33,MF,柏レイソル,40000000
79,67,小川　佳純,33,MF,名古屋グランパス,40000000
80,67,ヘジス,28,MF,名古屋グランパス,40000000
81,82,宇佐美　貴史,25,FW,ガンバ大阪,38000000
82,82,近藤　直也,34,DF,柏レイソル,38000000
83,82,中村　直志,38,MF,名古屋グランパス,38000000
84,85,太田　宏介,30,DF,FC東京,36000000
85,86,キム　ジンヒョン,30,GK,セレッソ大阪,35000000
86,86,工藤　壮人,27,FW,柏レイソル,35000000
87,86,栗澤　僚一,35,MF,柏レイソル,35000000
88,86,東口　順昭,31,GK,ガンバ大阪,35000000
89,86,権田　修一,28,GK,FC東京,35000000
90,86,橋本　英郎,38,MF,ヴィッセル神戸,35000000
91,86,菊地　光将,31,DF,大宮アルディージャ,35000000
92,86,千葉　和彦,32,DF,サンフレッチェ広島,35000000
93,86,岩下　敬輔,31,DF,ガンバ大阪,35000000
94,95,倉田　秋,28,MF,ガンバ大阪,33000000
95,95,明神　智和,39,MF,ガンバ大阪,33000000
96,97,田中　裕介,31,DF,川崎フロンターレ,32000000
97,98,藤本　康太,31,DF,セレッソ大阪,30000000
98,98,平岡　康裕,31,DF,清水エスパルス,30000000
99,98,新井場　徹,38,DF,セレッソ大阪,30000000
100,98,二川　孝広,37,MF,ガンバ大阪,30000000
101,98,長谷川　アーリアジャスール,29,MF,セレッソ大阪,30000000
102,98,山口　蛍,27,MF,セレッソ大阪,30000000
103,98,野沢　拓也,36,MF,鹿島アントラーズ,30000000
104,98,東　慶悟,27,MF,FC東京,30000000
105,98,兵藤　慎剛,32,MF,横浜F・マリノス,30000000
106,98,中町　公祐,32,MF,横浜F・マリノス,30000000
107,98,矢島　卓郎,33,FW,横浜F・マリノス,30000000
