id,y,year,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,address,capa,specific,prefecture,latitude,longitude,population,area,dencity,rain,match2,match3,media,month,day,weekday,hour,humid,discomfort,home_all,away_all,pred,diff,res
15669,13809,2014,1,第１節第１日,03/01(土),14:05,18,37,国立競技場,スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府／ＮＨＫ水戸,0,4,曇,9.1,56%,飯田　淳平,ヴァンフォーレ甲府,[3600000],[15000000],[12000000],[6000000],[9000000],[7200000],[20000000],[20000000],[4800000],[30000000],[30000000],鹿島アントラーズ,[70000000],[4800000],[45000000],[5500000],[12000000],[20000000],[80000000],[25000000],[3600000],[10000000],[60000000],東京都新宿区霞ヶ丘町10,54224,0,東京都,35.6768,139.715,13742906,2191,6272.44,0,1,1,4,3,1,1,14,56,50.708,1.576e+08,3.359e+08,23206,-9397,9397
15113,17183,2013,1,第３１節第１日,11/10(日),19:05,15,34,宮城スタジアム,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,3,3,晴,10.4,62%,飯田　淳平,ベガルタ仙台,[40000000],[20000000],[12000000],[20000000],[17000000],[17000000],[20000000],[42000000],[26000000],[30000000],[70000000],浦和レッズ,[40000000],[45000000],[40000000],[60000000],[45000000],[100000000],[60000000],[18000000],[30000000],[25000000],[70000000],宮城県宮城郡利府町菅谷字舘40-1,49133,0,宮城県,38.3367,140.954,2322024,7282.22,318.86,0,31,1,3,11,10,2,19,62,52.2415,3.14e+08,5.33e+08,26387.9,-9204.93,9204.93
14864,13721,2013,1,第４節第１日,03/30(土),13:04,13,15,ヤンマースタジアム長居,スカパー！／スカパー！プレミアムサービス,1,1,晴,16.1,26%,山本　雄大,セレッソ大阪,[35000000],2500000,[30000000],[20000000],[20000000],[25000000],2500000,[10000000],[100000000],[50000000],2500000,ベガルタ仙台,[40000000],[20000000],[12000000],[17000000],2500000,2500000,[20000000],[17000000],[42000000],[70000000],[20000000],大阪府大阪市東住吉区長居公園1-1,47816,1,大阪府,34.6134,135.518,8831642,1905.14,4635.69,0,4,1,2,3,30,1,13,26,59.7671,2.975e+08,2.63e+08,21755.8,-8034.77,8034.77
14859,13702,2013,1,第３節第１日,03/16(土),15:04,13,39,ヤンマースタジアム長居,スカパー！／スカパー！プレミアムサービス,1,0,晴,13.8,36%,佐藤　隆治,セレッソ大阪,[35000000],2500000,[30000000],[30000000],[15000000],[25000000],2500000,[10000000],[100000000],[50000000],2500000,ＦＣ東京,[35000000],[58000000],[50000000],2500000,[36000000],[30000000],[25000000],2500000,[30000000],[30000000],[40000000],大阪府大阪市東住吉区長居公園1-1,47816,1,大阪府,34.6134,135.518,8831642,1905.14,4635.69,0,3,1,2,3,16,1,15,36,57.2483,3.025e+08,3.39e+08,21620.5,-7918.51,7918.51
14887,13384,2013,1,第６節第１日,04/13(土),19:04,13,23,ヤンマースタジアム長居,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１,1,2,晴,13.3,31%,福島　孝一郎,セレッソ大阪,[35000000],2500000,[30000000],[30000000],[20000000],[25000000],2500000,[26000000],[100000000],[50000000],2500000,大宮アルディージャ,[30000000],[8500000],[35000000],[12000000],[20000000],[30000000],[40000000],[30000000],[50000000],[8500000],[70000000],大阪府大阪市東住吉区長居公園1-1,47816,1,大阪府,34.6134,135.518,8831642,1905.14,4635.69,0,6,1,3,4,13,1,19,31,56.7218,3.235e+08,3.34e+08,21225.3,-7841.33,7841.33
14093,25241,2012,1,第１２節第１日,05/19(土),14:03,31,5,日産スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）,0,0,晴,24.7,40%,飯田　淳平,横浜Ｆ・マリノス,[15000000],[30000000],[70000000],[120000000],[100000000],[50000000],[30000000],[130000000],[20000000],2500000,[150000000],ガンバ大阪,[6000000],[18000000],[25000000],[110000000],[20000000],[33000000],[150000000],2500000,[33000000],[12000000],[30000000],神奈川県横浜市港北区小机町3300,72327,0,神奈川県,35.5111,139.605,9161139,2415.92,3791.99,0,12,1,3,5,19,1,14,40,70.3682,7.175e+08,4.395e+08,33064,-7823.05,7823.05
14298,18487,2012,1,第３４節第１日,12/01(土),15:34,13,24,ヤンマースタジアム長居,スカパー！／スカパー！プレミアムサービス,2,2,曇時々晴,8.9,48%,高山　啓義,セレッソ大阪,[35000000],2500000,[30000000],[20000000],[20000000],[100000000],[26000000],[15000000],2500000,[10000000],[15000000],川崎フロンターレ,[10000000],[9000000],[20000000],[50000000],[10000000],[32000000],2500000,[100000000],2500000,[45000000],[15000000],大阪府大阪市東住吉区長居公園1-1,47816,1,大阪府,34.6134,135.518,8831642,1905.14,4635.69,0,34,1,2,12,1,1,15,48,50.8743,2.76e+08,2.96e+08,25844.7,-7357.72,7357.72
15562,3988,2013,0,第３９節第１日,11/03(日・祝),14:05,27,2,味の素スタジアム,スカパー！／スカパー！プレミアムサービス,1,2,曇,20.2,43%,西村　雄一,東京ヴェルディ,2500000,2500000,[23000000],2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,カターレ富山,[10000000],2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,東京都調布市西町376-3,49970,1,東京都,35.6634,139.525,13742906,2191,6272.44,0,39,1,2,11,3,0,14,43,65.1121,4.8e+07,3.5e+07,11247.2,-7259.23,7259.23
15815,15491,2014,1,第１７節第１日,07/27(日),18:34,39,15,味の素スタジアム,スカパー！／スカパー！プレミアムサービス,3,0,晴一時雨,28.3,75%,前田　拓哉,ＦＣ東京,[35000000],[58000000],[50000000],[6000000],[36000000],[30000000],[25000000],[20000000],[12000000],[30000000],[4800000],ベガルタ仙台,[6000000],[20000000],[20000000],[26000000],[3600000],[20000000],[17000000],[15000000],[42000000],[24000000],[70000000],東京都調布市西町376-3,49970,1,東京都,35.6634,139.525,13742906,2191,6272.44,0,17,1,2,7,27,2,18,75,79.5108,3.068e+08,2.636e+08,22358.9,-6867.94,6867.94
14925,12075,2013,1,第１０節第１日,05/06(月・休),19:03,21,15,豊田スタジアム,スカパー！／スカパー！プレミアムサービス,0,2,晴,19.8,41%,飯田　淳平,名古屋グランパス,[90000000],2500000,2500000,[150000000],[20000000],[40000000],[38000000],[52000000],[60000000],2500000,[100000000],ベガルタ仙台,[40000000],2500000,[12000000],[20000000],[4500000],[17000000],[26000000],[20000000],[42000000],[24000000],[30000000],愛知県豊田市千石町7-2,40000,1,愛知県,35.0844,137.17,7526911,5172.9,1455.07,0,10,1,2,5,6,0,19,41,64.5118,5.575e+08,2.38e+08,18885.2,-6810.17,6810.17
