id,y,year,stage,match,gameday,time,home,away,stadium,tv,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11,address,capa,specific,prefecture,latitude,longitude,population,area,dencity,rain,match2,match3,media,month,day,weekday,hour,humid,discomfort,home_all,away_all,pred,diff,res
14647,23617,2012,0,第３２節第１日,09/02(日),18:05,22,18,大分銀行ドーム,スカパー／ｅ２／スカパー光,1,2,曇,26.4,73%,家本　政明,大分トリニータ,2500000,[5800000],2500000,2500000,2500000,[9000000],2500000,2500000,2500000,2500000,[10000000],ヴァンフォーレ甲府,[10000000],[9000000],[7200000],[12000000],[6000000],[12000000],[25000000],[6000000],[7200000],2500000,[60000000],大分県大分市大字横尾1351,40000,0,大分県,33.2007,131.659,1151853,6340.74,181.66,0,32,1,3,9,2,2,18,73,76.3243,4.48e+07,1.569e+08,8234.51,15382.5,15382.5
15107,40371,2013,1,第３１節第１日,11/10(日),13:05,39,13,味の素スタジアム,スカパー！／スカパー！プレミアムサービス,1,2,曇時々晴,21.1,55%,吉田　寿光,ＦＣ東京,[35000000],[58000000],[50000000],[30000000],[36000000],[25000000],2500000,2500000,[30000000],[30000000],[40000000],セレッソ大阪,[35000000],2500000,[20000000],[25000000],[20000000],[25000000],2500000,[10000000],[100000000],[50000000],[15000000],東京都調布市西町376-3,49970,1,東京都,35.6634,139.525,13742906,2191,6272.44,0,31,1,2,11,10,2,13,55,67.0149,3.39e+08,3.05e+08,26104.9,14266.1,14266.1
15725,42723,2014,1,第７節第２日,04/12(土),14:04,13,5,ヤンマースタジアム長居,スカパー！／スカパー！プレミアムサービス／ＮＨＫ大阪,2,2,晴,18,22%,西村　雄一,セレッソ大阪,[35000000],[20000000],[25000000],[20000000],2500000,[30000000],[30000000],[10000000],[15000000],[50000000],[346500000],ガンバ大阪,[35000000],[45000000],[35000000],[18000000],[20000000],[10000000],[110000000],[9000000],[9000000],[60000000],[150000000],大阪府大阪市東住吉区長居公園1-1,47816,1,大阪府,34.6134,135.518,8831642,1905.14,4635.69,0,7,2,3,4,12,1,14,22,61.6544,5.84e+08,5.01e+08,28618.6,14104.4,14104.4
15127,62632,2013,1,第３３節第１日,11/30(土),14:04,31,1,日産スタジアム,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合,0,2,晴,12.7,33%,家本　政明,横浜Ｆ・マリノス,[25000000],[30000000],[70000000],[120000000],[100000000],[30000000],[50000000],[30000000],[130000000],[20000000],[150000000],アルビレックス新潟,[35000000],[15000000],[10000000],[15000000],[15000000],[50000000],[20000000],[18000000],[16000000],[30000000],[25000000],神奈川県横浜市港北区小机町3300,72327,0,神奈川県,35.5111,139.605,9161139,2415.92,3791.99,0,33,1,3,11,30,1,14,33,56.0171,7.55e+08,2.49e+08,50023,12609,12609
14852,52293,2013,1,第２節第１日,03/09(土),16:05,34,21,埼玉スタジアム２００２,スカパー！／スカパー！プレミアムサービス／テレ玉（録）,1,0,晴,21.6,24%,佐藤　隆治,浦和レッズ,[25000000],[45000000],[40000000],[60000000],[30000000],[100000000],[80000000],[18000000],[60000000],[25000000],[70000000],名古屋グランパス,[90000000],2500000,2500000,[30000000],[20000000],[40000000],[38000000],[52000000],[60000000],2500000,[23000000],埼玉県さいたま市緑区中野田500,63700,1,埼玉県,35.9034,139.716,7307579,3797.75,1924.19,0,2,1,3,3,9,1,16,24,65.4962,5.53e+08,3.605e+08,40210.8,12082.2,12082.2
14225,34822,2012,1,第２６節第１日,09/22(土・祝),19:04,39,24,味の素スタジアム,スカパー／ｅ２／スカパー光,1,2,曇,23.7,76%,松尾　一,ＦＣ東京,[35000000],[58000000],[50000000],[30000000],2500000,[25000000],[30000000],[50000000],[50000000],[20000000],2500000,川崎フロンターレ,[7000000],2500000,[50000000],[9000000],[6000000],2500000,[100000000],2500000,[8000000],2500000,[15000000],東京都調布市西町376-3,49970,1,東京都,35.6634,139.525,13742906,2191,6272.44,0,26,1,3,9,22,0,19,76,72.4609,3.53e+08,2.05e+08,24372.4,10449.6,10449.6
15084,47790,2013,1,第２８節第１日,10/05(土),16:05,34,23,埼玉スタジアム２００２,スカパー！／スカパー！プレミアムサービス／テレ玉（録）,4,0,雨,19.9,91%,家本　政明,浦和レッズ,[40000000],[45000000],[40000000],[60000000],[45000000],[100000000],[80000000],[18000000],[60000000],[25000000],[70000000],大宮アルディージャ,[30000000],[8500000],2500000,[35000000],[20000000],[12000000],[6500000],[30000000],[50000000],[70000000],[70000000],埼玉県さいたま市緑区中野田500,63700,1,埼玉県,35.9034,139.716,7307579,3797.75,1924.19,1,28,1,3,10,5,1,16,91,67.3339,5.83e+08,3.345e+08,37679.2,10110.8,10110.8
13998,25353,2012,1,第１節第１日,03/10(土),14:04,7,12,札幌ドーム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌,0,0,屋内,22.5,32%,廣瀬　格,コンサドーレ札幌,2500000,[10000000],2500000,2500000,2500000,2500000,[20000000],2500000,2500000,2500000,2500000,ジュビロ磐田,2500000,2500000,2500000,2500000,[12000000],[13000000],2500000,2500000,2500000,[11000000],2500000,北海道札幌市豊平区羊ヶ丘1,39232,1,北海道,43.0073,141.411,5320523,78420.8,67.85,0,1,1,4,3,10,1,14,32,67.077,5.25e+07,5.6e+07,15267.4,10085.6,10085.6
15736,40761,2014,1,第８節第１日,04/19(土),16:04,39,13,味の素スタジアム,スカパー！／スカパー！プレミアムサービス,2,0,曇,13.2,46%,家本　政明,ＦＣ東京,[35000000],[58000000],[50000000],[6000000],[36000000],[30000000],[25000000],[30000000],[70000000],[30000000],[12000000],セレッソ大阪,[35000000],[20000000],[25000000],[20000000],2500000,[30000000],[30000000],[10000000],[15000000],[50000000],[346500000],東京都調布市西町376-3,49970,1,東京都,35.6634,139.525,13742906,2191,6272.44,0,8,1,2,4,19,1,16,46,56.4253,3.82e+08,5.84e+08,30725.7,10035.3,10035.3
15765,38966,2014,1,第１１節第１日,05/03(土・祝),19:04,21,13,豊田スタジアム,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／名古屋テレビ（録）,1,2,晴,17.8,33%,山本　雄大,名古屋グランパス,[90000000],[23000000],[4200000],[150000000],[4800000],[26000000],[22000000],[38000000],[40000000],[65000000],[30000000],セレッソ大阪,[12000000],[15000000],[30000000],[25000000],[20000000],[25000000],[30000000],[10000000],[20000000],[50000000],[346500000],愛知県豊田市千石町7-2,40000,1,愛知県,35.0844,137.17,7526911,5172.9,1455.07,0,11,1,4,5,3,0,19,33,61.8143,4.93e+08,5.835e+08,29277.8,9688.19,9688.19
