id,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11
13994,1,0,雨,3.8,66%,木村　博之,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,青木　剛,増田　誓志,小笠原　満男,本山　雅志,大迫　勇也,ジュニーニョ
13995,1,0,屋内,12.4,43%,西村　雄一,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,中村　直志,ダニルソン,藤本　淳吾,金崎　夢生,ケネディ,玉田　圭司,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,河井　陽介,枝村　匠馬,高木　俊幸,アレックス,大前　元紀
13996,2,3,晴一時雨,11.3,41%,高山　啓義,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,佐々木　勇人,二川　孝広,ラフィーニャ,パウリーニョ,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,伊野波　雅彦,相馬　崇人,三原　雅俊,田中　英雄,野沢　拓也,橋本　英郎,森岡　亮太,大久保　嘉人
13997,1,0,曇一時雨のち晴,11.4,52%,松尾　一,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人,浦和レッズ,加藤　順大,濱田　水輝,阿部　勇樹,槙野　智章,平川　忠亮,鈴木　啓太,山田　直輝,梅崎　司,柏木　陽介,原口　元気,田中　達也
13998,0,0,屋内,22.5,32%,廣瀬　格,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,山本　脩斗,小林　裕紀,山本　康裕,山田　大記,松浦　拓弥,菅沼　実,前田　遼一
13999,0,0,晴,14.5,33%,井上　知大,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス
14000,1,0,曇,7.1,65%,山本　雄大,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,アルビレックス新潟,黒河　貴矢,三門　雄大,鈴木　大輔,大井　健太郎,金　珍洙,菊地　直哉,本間　勲,小谷野　顕治,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス
14001,0,1,曇,9.2,57%,飯田　淳平,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,渡邉　大剛,カルリーニョス,青木　拓矢,曺　永哲,東　慶悟,ラファエル,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,梶山　陽平,羽生　直剛,長谷川　アーリアジャスール,谷澤　達也,ルーカス
14002,3,3,晴時々曇,12.1,46%,村上　伸次,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,近藤　直也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,リカルド　ロボ,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,兵藤　慎剛,小椋　祥平,中村　俊輔,齋藤　学,小野　裕二,大黒　将志
14004,1,0,雨のち曇,7.2,79%,東城　穣,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,原口　元気,デスポトビッチ,柏レイソル,菅野　孝憲,酒井　宏樹,那須　大亮,増嶋　竜也,橋本　和,レアンドロ　ドミンゲス,茨田　陽生,大谷　秀和,ジョルジ　ワグネル,田中　順也,リカルド　ロボ
14005,0,2,雨,6.4,80%,今村　義朗,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,中村　俊輔,兵藤　慎剛,小椋　祥平,齋藤　学,小野　裕二,大黒　将志,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾
14006,1,2,雨,11.0,68%,松村　和彦,アルビレックス新潟,小澤　英明,村上　佑介,鈴木　大輔,大井　健太郎,金　珍洙,三門　雄大,本間　勲,田中　亜土夢,アラン　ミネイロ,矢野　貴章,ブルーノ　ロペス,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,渡邉　大剛,青木　拓矢,カルリーニョス,曺　永哲,東　慶悟,ラファエル
14007,2,1,曇,17.1,70%,吉田　寿光,セレッソ大阪,キム　ジンヒョン,酒本　憲幸,茂庭　照幸,藤本　康太,丸橋　祐介,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,二川　孝広,パウリーニョ,ラフィーニャ,イ　スンヨル
14008,2,1,雨,11.5,95%,木村　博之,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,小野　伸二,大前　元紀,河井　陽介,アレックス,高木　俊幸,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,石原　直樹,髙萩　洋次郎,佐藤　寿人
14009,2,1,雨,15.1,95%,高山　啓義,ジュビロ磐田,川口　能活,駒野　友一,チョ　ビョングク,藤田　義明,金沢　浄,山本　康裕,小林　裕紀,山田　大記,ペク　ソンドン,菅沼　実,前田　遼一,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平
14010,2,1,屋内,17.2,70%,飯田　淳平,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,伊野波　雅彦,相馬　崇人,三原　雅俊,田中　英雄,野沢　拓也,橋本　英郎,森岡　亮太,大久保　嘉人,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介
14011,3,2,雨のち曇,7.6,83%,村上　伸次,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,梶山　陽平,石川　直宏,長谷川　アーリアジャスール,羽生　直剛,ルーカス,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,吉村　圭司,ダニルソン,金崎　夢生,永井　謙佑,ケネディ,玉田　圭司
14012,4,1,曇時々雨,8.9,57%,東城　穣,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,柳沢　敦,赤嶺　真吾,大宮アルディージャ,北野　貴之,村上　和弘,菊地　光将,金　英權,下平　匠,青木　拓矢,上田　康太,渡邉　大剛,曺　永哲,東　慶悟,ラファエル
14013,2,0,曇時々晴,10.6,60%,井上　知大,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,大﨑　淳矢,髙萩　洋次郎,佐藤　寿人,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,山村　和也,アレックス,増田　誓志,小笠原　満男,柴崎　岳,遠藤　康,ジュニーニョ,大迫　勇也
14014,0,1,雨のち曇,10.3,77%,松尾　一,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス
14015,0,2,晴,12.4,51%,山本　雄大,ヴィッセル神戸,徳重　健太,近藤　岳登,北本　久仁衛,高木　和道,相馬　崇人,伊野波　雅彦,田中　英雄,野沢　拓也,橋本　英郎,吉田　孝行,大久保　嘉人,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,長谷川　アーリアジャスール,石川　直宏,梶山　陽平,羽生　直剛,ルーカス
14016,1,0,晴,12.7,30%,前田　拓哉,サガン鳥栖,赤星　拓,丹羽　竜平,小林　久晃,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,池田　圭,豊田　陽平,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,金井　貢史,中村　俊輔,谷口　博之,富澤　清太郎,兵藤　慎剛,大黒　将志,齋藤　学
14017,1,2,屋内,20.6,35%,村上　伸次,コンサドーレ札幌,李　昊乗,高木　純平,ジェイド　ノース,奈良　竜樹,岩沼　俊介,河合　竜二,山本　真希,近藤　祐介,内村　圭宏,岡本　賢明,前田　俊介,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,矢島　慎也,デスポトビッチ
14018,2,1,晴,8.6,52%,吉田　寿光,柏レイソル,菅野　孝憲,酒井　宏樹,増嶋　竜也,那須　大亮,橋本　和,レアンドロ　ドミンゲス,栗澤　僚一,大谷　秀和,ジョルジ　ワグネル,リカルド　ロボ,工藤　壮人,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,小野　伸二,河井　陽介,大前　元紀,高木　俊幸,アレックス
14019,2,1,晴時々曇,6.4,58%,廣瀬　格,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,玉田　圭司,吉村　圭司,藤本　淳吾,金崎　夢生,ケネディ,永井　謙佑,アルビレックス新潟,小澤　英明,村上　佑介,鈴木　大輔,大井　健太郎,金　珍洙,菊地　直哉,本間　勲,小谷野　顕治,アラン　ミネイロ,平井　将生,ブルーノ　ロペス
14021,1,1,曇のち雨,18.0,73%,松尾　一,大宮アルディージャ,北野　貴之,渡部　大輔,菊地　光将,金　英權,下平　匠,青木　拓矢,カルリーニョス,上田　康太,金久保　順,曺　永哲,ラファエル,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,藤本　淳吾,ダニルソン,玉田　圭司,金崎　夢生,ケネディ,永井　謙佑
14022,0,1,雨,16.3,82%,佐藤　隆治,ＦＣ東京,権田　修一,徳永　悠平,森重　真人,加賀　健一,太田　宏介,高橋　秀人,田邉　草民,石川　直宏,羽生　直剛,谷澤　達也,ルーカス,サンフレッチェ広島,西川　周作,森脇　良太,千葉　和彦,水本　裕貴,ミキッチ,青山　敏弘,森﨑　和幸,山岸　智,大﨑　淳矢,髙萩　洋次郎,佐藤　寿人
14024,1,0,晴,12.8,62%,中村　太,ジュビロ磐田,八田　直樹,駒野　友一,チョ　ビョングク,藤田　義明,宮崎　智彦,山本　康裕,小林　裕紀,山田　大記,松浦　拓弥,菅沼　実,前田　遼一,柏レイソル,菅野　孝憲,酒井　宏樹,那須　大亮,近藤　直也,橋本　和,レアンドロ　ドミンゲス,栗澤　僚一,大谷　秀和,水野　晃樹,田中　順也,工藤　壮人
14025,1,2,雨のち晴,12.4,49%,村上　伸次,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,酒本　憲幸,山下　達也,黒木　聖仁,扇原　貴宏,山口　螢,キム　ボギョン,清武　弘嗣,ブランキーニョ,ケンペス,ベガルタ仙台,林　卓人,菅井　直樹,渡辺　広大,上本　大海,田村　直也,富田　晋伍,角田　誠,太田　吉彰,関口　訓充,ウイルソン,赤嶺　真吾
