id,home_score,away_score,weather,temperature,humidity,referee,home_team,home_01,home_02,home_03,home_04,home_05,home_06,home_07,home_08,home_09,home_10,home_11,away_team,away_01,away_02,away_03,away_04,away_05,away_06,away_07,away_08,away_09,away_10,away_11
14003,0,1,雨,13.3,86%,西村　雄一,鹿島アントラーズ,曽ヶ端　準,新井場　徹,岩政　大樹,中田　浩二,アレックス,柴崎　岳,増田　誓志,小笠原　満男,遠藤　康,大迫　勇也,ジュニーニョ,川崎フロンターレ,西部　洋平,實藤　友紀,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁
14020,1,2,曇,4.6,56%,家本　政明,ガンバ大阪,藤ヶ谷　陽介,加地　亮,中澤　聡太,今野　泰幸,藤春　廣輝,武井　択也,遠藤　保仁,二川　孝広,パウリーニョ,ラフィーニャ,イ　スンヨル,ジュビロ磐田,八田　直樹,駒野　友一,チョ　ビョングク,藤田　義明,金沢　浄,小林　裕紀,山本　康裕,山田　大記,松浦　拓弥,菅沼　実,前田　遼一
14023,1,1,雨,10.0,65%,家本　政明,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,矢島　慎也,ポポ,川崎フロンターレ,安藤　駿介,田中　裕介,ジェシ,森下　俊,小宮山　尊信,中村　憲剛,柴崎　晃誠,田坂　祐介,山瀬　功治,レナト,小松　塁
14076,2,1,晴,27.9,47%,今村　義朗,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,兵藤　慎剛,中村　俊輔,齋藤　学,小野　裕二,大黒　将志,コンサドーレ札幌,李　昊乗,日高　拓磨,ジェイド　ノース,櫛引　一紀,岩沼　俊介,河合　竜二,宮澤　裕樹,古田　寛幸,近藤　祐介,高木　純平,前田　俊介
14081,2,3,晴,19.0,48%,吉田　寿光,名古屋グランパス,楢﨑　正剛,石櫃　洋祐,ダニエル,田中　マルクス闘莉王,三都主　アレサンドロ,中村　直志,ダニルソン,藤本　淳吾,玉田　圭司,金崎　夢生,ケネディ,川崎フロンターレ,西部　洋平,田中　裕介,井川　祐輔,森下　俊,登里　享平,稲本　潤一,中村　憲剛,大島　僚太,田坂　祐介,楠神　順平,矢島　卓郎
14086,1,1,晴,26.1,29%,高山　啓義,サガン鳥栖,赤星　拓,丹羽　竜平,キム　クナン,小林　久晃,呂　成海,岡本　知剛,藤田　直之,水沼　宏太,金　民友,野田　隆之介,池田　圭,大宮アルディージャ,北野　貴之,片岡　洋介,深谷　友基,菊地　光将,下平　匠,カルリーニョス,青木　拓矢,渡邉　大剛,曺　永哲,東　慶悟,長谷川　悠
14091,0,1,晴,14.4,42%,西村　雄一,ヴィッセル神戸,徳重　健太,奥井　諒,イ　グァンソン,北本　久仁衛,相馬　崇人,朴　康造,大屋　翼,伊野波　雅彦,小川　慶治朗,野沢　拓也,吉田　孝行,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,小川　佳純,ダニルソン,藤本　淳吾,永井　謙佑,ケネディ,玉田　圭司
14099,4,0,晴,19.1,43%,家本　政明,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,上本　大海,田村　直也,富田　晋伍,角田　誠,関口　訓充,梁　勇基,ウイルソン,赤嶺　真吾,名古屋グランパス,楢﨑　正剛,田中　隼磨,田中　マルクス闘莉王,増川　隆洋,阿部　翔平,田口　泰士,ダニルソン,藤本　淳吾,永井　謙佑,ケネディ,玉田　圭司
14125,0,0,晴,22.3,71%,西村　雄一,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,宇賀神　友弥,小島　秀仁,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,原口　元気,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,朴　柱成,富田　晋伍,角田　誠,太田　吉彰,梁　勇基,中原　貴之,柳沢　敦
14147,3,5,晴,27.0,80%,西村　雄一,清水エスパルス,林　彰洋,吉田　豊,岩下　敬輔,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,河井　陽介,大前　元紀,小野　伸二,アレックス,高原　直泰,柏レイソル,菅野　孝憲,増嶋　竜也,近藤　直也,那須　大亮,橋本　和,レアンドロ　ドミンゲス,栗澤　僚一,澤　昌克,茨田　陽生,ジョルジ　ワグネル,田中　順也
14153,0,1,曇,28.7,75%,佐藤　隆治,セレッソ大阪,キム　ジンヒョン,茂庭　照幸,藤本　康太,丸橋　祐介,酒本　憲幸,扇原　貴宏,山口　螢,ブランキーニョ,柿谷　曜一朗,ケンペス,播戸　竜二,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,山村　和也,新井場　徹,小笠原　満男,柴崎　岳,ドゥトラ,遠藤　康,大迫　勇也,興梠　慎三
14174,2,1,屋内,24.3,63%,村上　伸次,コンサドーレ札幌,杉山　哲,日高　拓磨,奈良　竜樹,金　載桓,岩沼　俊介,山本　真希,宮澤　裕樹,砂川　誠,ハモン,古田　寛幸,テレ,ベガルタ仙台,林　卓人,菅井　直樹,鎌田　次郎,渡辺　広大,田村　直也,松下　年宏,梁　勇基,太田　吉彰,関口　訓充,柳沢　敦,ウイルソン
14176,2,1,曇,26.9,87%,井上　知大,鹿島アントラーズ,曽ヶ端　準,西　大伍,岩政　大樹,青木　剛,新井場　徹,柴崎　岳,小笠原　満男,レナト,ドゥトラ,興梠　慎三,大迫　勇也,ジュビロ磐田,八田　直樹,駒野　友一,宮崎　智彦,菅沼　駿哉,藤田　義明,ロドリゴ　ソウト,小林　裕紀,山田　大記,松浦　拓弥,山崎　亮平,前田　遼一
14180,3,2,曇,28.1,82%,福島　孝一郎,横浜Ｆ・マリノス,飯倉　大樹,小林　祐三,栗原　勇蔵,中澤　佑二,ドゥトラ,富澤　清太郎,兵藤　慎剛,中村　俊輔,小野　裕二,マルキーニョス,大黒　将志,アルビレックス新潟,東口　順昭,藤田　征也,大井　健太郎,石川　直樹,村上　佑介,三門　雄大,菊地　直哉,田中　亜土夢,アラン　ミネイロ,平井　将生,ミシェウ
14182,1,0,晴,27.6,80%,飯田　淳平,ヴィッセル神戸,徳重　健太,奥井　諒,北本　久仁衛,伊野波　雅彦,相馬　崇人,田中　英雄,橋本　英郎,野沢　拓也,小川　慶治朗,田代　有三,大久保　嘉人,浦和レッズ,加藤　順大,坪井　慶介,永田　充,槙野　智章,平川　忠亮,鈴木　啓太,阿部　勇樹,梅崎　司,柏木　陽介,マルシオ　リシャルデス,原口　元気
14190,0,5,曇,26.1,89%,家本　政明,名古屋グランパス,楢﨑　正剛,田中　隼磨,ダニエル,増川　隆洋,石櫃　洋祐,田口　泰士,ダニルソン,藤本　淳吾,小川　佳純,永井　謙佑,金崎　夢生,ガンバ大阪,藤ヶ谷　陽介,岩下　敬輔,丹羽　大輝,今野　泰幸,藤春　廣輝,明神　智和,遠藤　保仁,二川　孝広,倉田　秋,レアンドロ,佐藤　晃大
14191,0,1,曇,27.0,71%,東城　穣,サガン鳥栖,奥田　達朗,丹羽　竜平,キム　クナン,呂　成海,磯崎　敬太,高橋　義希,藤田　直之,水沼　宏太,金　民友,早坂　良太,豊田　陽平,清水エスパルス,山本　海人,平岡　康裕,カルフィン　ヨン　ア　ピン,李　記帝,村松　大輔,杉山　浩太,河井　陽介,大前　元紀,高木　俊幸,石毛　秀樹,金　賢聖
