id,y,year,stage,match,gameday,time,home,away,stadium,tv
13994,18250,2012,Ｊ１,第１節第１日,03/10(土),14:04,ベガルタ仙台,鹿島アントラーズ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光／ＮＨＫ総合
13995,24316,2012,Ｊ１,第１節第１日,03/10(土),14:04,名古屋グランパス,清水エスパルス,豊田スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋
13996,17066,2012,Ｊ１,第１節第１日,03/10(土),14:04,ガンバ大阪,ヴィッセル神戸,万博記念競技場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪
13997,29603,2012,Ｊ１,第１節第１日,03/10(土),14:06,サンフレッチェ広島,浦和レッズ,エディオンスタジアム広島,スカパー／ｅ２／スカパー光／ＮＨＫ広島
13998,25353,2012,Ｊ１,第１節第１日,03/10(土),14:04,コンサドーレ札幌,ジュビロ磐田,札幌ドーム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌
13999,11283,2012,Ｊ１,第１節第１日,03/10(土),14:05,サガン鳥栖,セレッソ大阪,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ佐賀
14000,18920,2012,Ｊ１,第１節第１日,03/10(土),17:05,川崎フロンターレ,アルビレックス新潟,等々力陸上競技場,スカパー／ｅ２／スカパー光
14001,11437,2012,Ｊ１,第１節第１日,03/10(土),19:04,大宮アルディージャ,ＦＣ東京,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
14002,13082,2012,Ｊ１,第１節第２日,03/11(日),14:04,柏レイソル,横浜Ｆ・マリノス,日立柏サッカー場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
14004,41069,2012,Ｊ１,第２節第１日,03/17(土),14:04,浦和レッズ,柏レイソル,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／ＮＨＫ総合
14005,19488,2012,Ｊ１,第２節第１日,03/17(土),14:03,横浜Ｆ・マリノス,ベガルタ仙台,日産スタジアム,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
14006,26294,2012,Ｊ１,第２節第１日,03/17(土),14:03,アルビレックス新潟,大宮アルディージャ,デンカビッグスワンスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／新潟総合テレビ
14007,30764,2012,Ｊ１,第２節第１日,03/17(土),14:04,セレッソ大阪,ガンバ大阪,ヤンマースタジアム長居,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪
14008,13231,2012,Ｊ１,第２節第１日,03/17(土),15:04,清水エスパルス,サンフレッチェ広島,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／テレビ静岡
14009,10653,2012,Ｊ１,第２節第１日,03/17(土),17:04,ジュビロ磐田,サガン鳥栖,ヤマハスタジアム（磐田）,スカパー／ｅ２／スカパー光
14010,14036,2012,Ｊ１,第２節第１日,03/17(土),17:06,ヴィッセル神戸,コンサドーレ札幌,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光
14011,21757,2012,Ｊ１,第２節第１日,03/17(土),19:04,ＦＣ東京,名古屋グランパス,味の素スタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ
14012,11831,2012,Ｊ１,第３節第１日,03/24(土),13:03,ベガルタ仙台,大宮アルディージャ,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）
14013,14349,2012,Ｊ１,第３節第１日,03/24(土),13:04,サンフレッチェ広島,鹿島アントラーズ,エディオンスタジアム広島,スカパー／ｅ２／スカパー光
14014,14777,2012,Ｊ１,第３節第１日,03/24(土),14:04,川崎フロンターレ,セレッソ大阪,等々力陸上競技場,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
14015,11839,2012,Ｊ１,第３節第１日,03/24(土),14:04,ヴィッセル神戸,ＦＣ東京,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
