id,y,year,stage,match,gameday,time,home,away,stadium,tv
14003,19010,2012,Ｊ１,第２節第１日,03/17(土),14:04,鹿島アントラーズ,川崎フロンターレ,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ水戸
14020,15072,2012,Ｊ１,第３節第２日,03/25(日),19:03,ガンバ大阪,ジュビロ磐田,万博記念競技場,スカパー／ｅ２／スカパー光
14023,25743,2012,Ｊ１,第４節第１日,03/31(土),15:03,浦和レッズ,川崎フロンターレ,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／テレ玉
14076,24183,2012,Ｊ１,第１０節第１日,05/06(日),13:03,横浜Ｆ・マリノス,コンサドーレ札幌,日産スタジアム,スカパー／ｅ２／スカパー光
14081,20512,2012,Ｊ１,第１０節第１日,05/06(日),17:03,名古屋グランパス,川崎フロンターレ,豊田スタジアム,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／名古屋テレビ（録）
14086,7833,2012,Ｊ１,第１１節第１日,05/12(土),14:04,サガン鳥栖,大宮アルディージャ,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光
14091,14825,2012,Ｊ１,第１１節第１日,05/12(土),18:34,ヴィッセル神戸,名古屋グランパス,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）
14099,16317,2012,Ｊ１,第１２節第１日,05/19(土),18:33,ベガルタ仙台,名古屋グランパス,ユアテックスタジアム仙台,スカパー／ｅ２／スカパー光
14125,39545,2012,Ｊ１,第１５節第１日,06/23(土),19:04,浦和レッズ,ベガルタ仙台,埼玉スタジアム２００２,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１／テレ玉
14147,14092,2012,Ｊ１,第１８節第１日,07/14(土),18:03,清水エスパルス,柏レイソル,ＩＡＩスタジアム日本平,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）
14153,26534,2012,Ｊ１,第１８節第１日,07/14(土),19:04,セレッソ大阪,鹿島アントラーズ,ヤンマースタジアム長居,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
14174,11945,2012,Ｊ１,第２１節第１日,08/11(土),14:03,コンサドーレ札幌,ベガルタ仙台,札幌ドーム,スカパー／ｅ２／スカパー光
14176,14649,2012,Ｊ１,第２１節第１日,08/11(土),18:34,鹿島アントラーズ,ジュビロ磐田,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
14180,11992,2012,Ｊ１,第２１節第１日,08/11(土),19:03,横浜Ｆ・マリノス,アルビレックス新潟,ニッパツ三ツ沢球技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
14182,14161,2012,Ｊ１,第２１節第１日,08/11(土),19:04,ヴィッセル神戸,浦和レッズ,ノエビアスタジアム神戸,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）
14190,30354,2012,Ｊ１,第２２節第１日,08/18(土),19:04,名古屋グランパス,ガンバ大阪,豊田スタジアム,スカパー／ｅ２／スカパー光
14191,11933,2012,Ｊ１,第２２節第１日,08/18(土),19:05,サガン鳥栖,清水エスパルス,ベストアメニティスタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
14197,15056,2012,Ｊ１,第２３節第１日,08/25(土),19:04,ガンバ大阪,コンサドーレ札幌,万博記念競技場,スカパー／ｅ２／スカパー光
14201,10783,2012,Ｊ１,第２４節第１日,09/01(土),14:03,コンサドーレ札幌,清水エスパルス,札幌ドーム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
14210,10012,2012,Ｊ１,第２５節第１日,09/15(土),18:33,大宮アルディージャ,サガン鳥栖,熊谷スポーツ文化公園陸上競技場,スカパー／ｅ２／スカパー光
14211,10445,2012,Ｊ１,第２５節第１日,09/15(土),19:04,柏レイソル,コンサドーレ札幌,日立柏サッカー場,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）
14212,18088,2012,Ｊ１,第２５節第１日,09/15(土),19:03,川崎フロンターレ,鹿島アントラーズ,等々力陸上競技場,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）
14228,11316,2012,Ｊ１,第２７節第１日,09/29(土),16:03,大宮アルディージャ,横浜Ｆ・マリノス,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光
14230,22165,2012,Ｊ１,第２７節第１日,09/29(土),14:05,ＦＣ東京,ジュビロ磐田,味の素スタジアム,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ　ＢＳ１
14231,20909,2012,Ｊ１,第２７節第１日,09/29(土),19:04,川崎フロンターレ,コンサドーレ札幌,等々力陸上競技場,スカパー／ｅ２／スカパー光
14253,24839,2012,Ｊ１,第２９節第１日,10/20(土),19:05,サンフレッチェ広島,柏レイソル,エディオンスタジアム広島,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
14258,10753,2012,Ｊ１,第３０節第１日,10/27(土),14:04,ジュビロ磐田,ベガルタ仙台,ヤマハスタジアム（磐田）,スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合／静岡放送
14280,8978,2012,Ｊ１,第３２節第１日,11/17(土),14:05,ジュビロ磐田,名古屋グランパス,ヤマハスタジアム（磐田）,スカパー！／スカパー！プレミアムサービス／ＮＨＫ静岡
